Table Names,Year,Month,Mean Temp.,Total Precip (mm),Year-1,Month-1,Zone ,Sex,Frequency,Frequency of suicide excluding drug toxicity suicide deaths (i.e. drug overdose)
weather_after 2012.xlsx/Sheet1,2018,Oct,7.9,207.5,2018,Oct,Nova Scotia,Total,8,5
weather_after 2012.xlsx/Sheet1,2018,Nov,2.4,197.9,2018,Nov,Nova Scotia,Total,8,8
weather_after 2012.xlsx/Sheet1,2018,Dec,-3.6,89.9,2018,Dec,Nova Scotia,Total,13,13
weather_after 2012.xlsx/Sheet1,2019,Jan,-4.5,139.8,2019,Jan,Nova Scotia,Total,13,12
weather_after 2012.xlsx/Sheet1,2019,Feb,-6.1,87.2,2019,Feb,Nova Scotia,Total,9,6
weather_after 2012.xlsx/Sheet1,2019,Mar,-1.3,115.7,2019,Mar,Nova Scotia,Total,14,9
weather_after 2012.xlsx/Sheet1,2019,Apr,4.9,185.1,2019,Apr,Nova Scotia,Total,15,9
weather_after 2012.xlsx/Sheet1,2019,May,7.6,104.8,2019,May,Nova Scotia,Total,8,8
weather_after 2012.xlsx/Sheet1,2019,Jun,14.7,166.6,2019,Jun,Nova Scotia,Total,14,13
weather_after 2012.xlsx/Sheet1,2019,Jul,20,48.4,2019,Jul,Nova Scotia,Total,12,8
weather_after 2012.xlsx/Sheet1,2019,Aug,19.7,77.1,2019,Aug,Nova Scotia,Total,13,11
weather_after 2012.xlsx/Sheet1,2019,Sep,14.4,91.8,2019,Sep,Nova Scotia,Total,5,4
weather_after 2012.xlsx/Sheet1,2019,Oct,9.5,124.5,2019,Oct,Nova Scotia,Total,11,11
weather_after 2012.xlsx/Sheet1,2019,Nov,2.9,215.1,2019,Nov,Nova Scotia,Total,11,10
weather_after 2012.xlsx/Sheet1,2019,Dec,-1.8,138.1,2019,Dec,Nova Scotia,Total,12,9
weather_after 2012.xlsx/Sheet1,2020,Jan,-4.1,105.4,2020,Jan,Nova Scotia,Total,11,8
weather_after 2012.xlsx/Sheet1,2020,Feb,-3.4,130.8,2020,Feb,Nova Scotia,Total,11,9
weather_after 2012.xlsx/Sheet1,2020,Mar,-0.6,99.6,2020,Mar,Nova Scotia,Total,13,12
weather_after 2012.xlsx/Sheet1,2020,Apr,3.7,149.3,2020,Apr,Nova Scotia,Total,10,10
weather_after 2012.xlsx/Sheet1,2020,May,9.6,121.7,2020,May,Nova Scotia,Total,7,7
weather_after 2012.xlsx/Sheet1,2020,Jun,16,33.2,2020,Jun,Nova Scotia,Total,9,4
weather_after 2012.xlsx/Sheet1,2020,Jul,19.8,103,2020,Jul,Nova Scotia,Total,7,6
weather_after 2012.xlsx/Sheet1,2020,Aug,19.8,105.8,2020,Aug,Nova Scotia,Total,10,10
weather_after 2012.xlsx/Sheet1,2020,Sep,15.4,137,2020,Sep,Nova Scotia,Total,15,11
weather_after 2012.xlsx/Sheet1,2020,Oct,9.4,116.4,2020,Oct,Nova Scotia,Total,8,6
weather_after 2012.xlsx/Sheet1,2020,Nov,5.5,125.6,2020,Nov,Nova Scotia,Total,12,8
weather_after 2012.xlsx/Sheet1,2020,Dec,2,140,2020,Dec,Nova Scotia,Total,8,7
weather_after 2012.xlsx/Sheet1,2021,Jan,-2.9,96.1,2021,Jan,Nova Scotia,Total,13,9
weather_after 2012.xlsx/Sheet1,2021,Feb,-4.2,178.9,2021,Feb,Nova Scotia,Total,7,6
weather_after 2012.xlsx/Sheet1,2021,Mar,-0.1,111,2021,Mar,Nova Scotia,Total,10,6
weather_after 2012.xlsx/Sheet1,2021,Apr,6.9,127.7,2021,Apr,Nova Scotia,Total,15,14
weather_after 2012.xlsx/Sheet1,2021,May,10,111.7,2021,May,Nova Scotia,Total,14,13
weather_after 2012.xlsx/Sheet1,2021,Jun,17.9,72.4,2021,Jun,Nova Scotia,Total,14,13
weather_after 2012.xlsx/Sheet1,2021,Jul,18.6,123.5,2021,Jul,Nova Scotia,Total,11,11
weather_after 2012.xlsx/Sheet1,2021,Aug,20.1,145.1,2021,Aug,Nova Scotia,Total,15,15
weather_after 2012.xlsx/Sheet1,2021,Sep,16.2,152.8,2021,Sep,Nova Scotia,Total,10,8
weather_after 2012.xlsx/Sheet1,2021,Oct,11.1,77.7,2021,Oct,Nova Scotia,Total,8,6
weather_after 2012.xlsx/Sheet1,2021,Nov,4.6,186.6,2021,Nov,Nova Scotia,Total,15,14
weather_after 2012.xlsx/Sheet1,2021,Dec,-0.7,161.4,2021,Dec,Nova Scotia,Total,13,12
weather_after 2012.xlsx/Sheet1,2022,Jan,-5.4,161,2022,Jan,Nova Scotia,Total,12,9
weather_after 2012.xlsx/Sheet1,2022,Feb,-4,184.7,2022,Feb,Nova Scotia,Total,19,15
weather_after 2012.xlsx/Sheet1,2022,Mar,0.4,134.6,2022,Mar,Nova Scotia,Total,13,11
weather_after 2012.xlsx/Sheet1,2022,Apr,5.5,125.4,2022,Apr,Nova Scotia,Total,12,11
weather_after 2012.xlsx/Sheet1,2022,May,10.9,50.7,2022,May,Nova Scotia,Total,13,12
weather_after 2012.xlsx/Sheet1,2022,Jun,15.5,147.4,2022,Jun,Nova Scotia,Total,14,13
weather_after 2012.xlsx/Sheet1,2022,Jul,20.1,62.4,2022,Jul,Nova Scotia,Total,11,11
weather_after 2012.xlsx/Sheet1,2022,Aug,21,76.1,2022,Aug,Nova Scotia,Total,13,9
weather_after 2012.xlsx/Sheet1,2022,Sep,15.8,150.5,2022,Sep,Nova Scotia,Total,11,9
weather_after 2012.xlsx/Sheet1,2022,Oct,11.8,113.1,2022,Oct,Nova Scotia,Total,14,9
weather_after 2012.xlsx/Sheet1,2022,Nov,5.4,98.5,2022,Nov,Nova Scotia,Total,10,10
weather_after 2012.xlsx/Sheet1,2022,Dec,0.7,166.7,2022,Dec,Nova Scotia,Total,7,7
